symbol,yf_ticker,roe,roce,debt_eq,netinc_cagr,trailing_pe,market_cap,sector,sector_pe_avg,pe_valuation_flag,s_roe,s_roce,s_debt_eq,s_netinc_cagr,s_pe_val,quality_score
SAREGAMA,SAREGAMA.NS,12.991625803579621,14.096433676161988,0.3204000904736069,7.512661323547265,43.40716,88660131840.0,Media Entertainment & Publication,23.900002999999998,0,0.39103485682737804,0.37820328573613876,0.9789233564734797,0.23218174117995338,0,0.40513613018926076
AGARWALEYE,AGARWALEYE.NS,10.18764098050835,13.434959127170856,0.9055075201627553,30.33729937538179,155.95612,157288792064.0,Healthcare,58.63961940816326,0,0.31318543182612857,0.35514867074018636,0.9033842080700908,0.43021852286655804,0,0.4042941330167104
WHIRLPOOL,WHIRLPOOL.NS,9.198373659635429,11.12962564800879,0.6979819015183979,-14.099029765277516,41.0,147729563648.0,Consumer Durables,63.08538357894737,1,0.2857195584487797,0.27480003770446015,0.9301763964936929,0.044669030559250464,1,0.40287614254665294
BAJAJHLDNG,BAJAJHLDNG.NS,9.4458692076549,,0.03573088739554358,17.150149436054818,16.031021,1345872461824.0,Financial Services,39.25075387065217,1,0.2925909886880422,,0.9999999998708969,0.31580090416556333,1,0.40093747742015984
BANDHANBNK,BANDHANBNK.NS,8.35121104259965,,6.782005072309084,179.45360966636906,12.6070595,258994782208.0,Financial Services,39.25075387065217,1,0.26219905930907633,,0.1447105044742103,0.9999999999913235,1,0.40036629346211916
RELIANCE,RELIANCE.NS,7.264282228093384,9.223590970602306,0.9315261294776481,5.660085897774381,22.699203,18504302460928.0,Oil Gas & Consumable Fuels,49.56356671764706,1,0.23202172648959277,0.2083683122154572,0.9000251264885569,0.21610796711534053,1,0.3999239583970937
RADICO,RADICO.NS,11.566105268399689,15.230962936672604,0.6846198094135514,9.501203268290293,99.52286,399316549632.0,Fast Moving Consumer Goods,53.197095983333334,0,0.3514569129390525,0.41774545004557095,0.931901483216697,0.24943522165536797,0,0.39954570320668664
ICICIGI,ICICIGI.NS,15.854445227065696,,3.7648912646520545,25.43239933408019,35.065346,933711380480.0,Financial Services,39.25075387065217,1,0.47051775707955773,,0.5342290716672474,0.38766141346276656,1,0.3988219705665077
AARTIIND,AARTIIND.NS,12.775384207995657,8.89429470747719,0.9827089748484449,-34.6521675776872,57.46554,136063344640.0,Chemicals,70.86632838461539,1,0.38503115675773025,0.19689122881514462,0.893417265511255,0.0,1,0.3987447440577935
PTCIL,PTCIL.NS,6.7399295073487036,6.878327706249442,0.14219532658397493,68.24952577120366,384.40057,239372861440.0,Capital Goods,60.8815871171875,0,0.21746367415209744,0.12662799173559736,0.9999999998708969,0.7591619779588964,0,0.3987284957519424
EXIDEIND,EXIDEIND.NS,6.62882030176516,8.953655584958698,0.5355350750531788,4.116502061762284,40.03518,338597511168.0,Automobile and Auto Components,45.62317724242425,1,0.21437885439991697,0.19896015524359956,0.9511487757686151,0.20271514246449224,1,0.3972690399890657
