date,regime,total,sleeve_ret
2032-07-01,severe_bear,8236464.799452532,-0.0027739084489167704
2032-08-01,severe_bear,8543400.960289307,0.07058123509224555
2032-09-01,severe_bear,8521755.865357459,-0.030668343821230383
2032-10-01,severe_bear,8628444.254335206,0.00697281843718851
2032-11-01,severe_bear,8638232.403784836,-0.021604271537459467
2032-12-01,severe_bear,8450519.31046196,-0.08061939361128773
2033-01-01,severe_bear,8612727.812562428,0.025261053460982112
2033-02-01,severe_bear,8813852.90825892,0.036437849128428096
2033-03-01,severe_bear,8911910.38810588,0.0043538520746781335
2033-04-01,severe_bear,8973698.764709868,-0.006285012744805422
2033-05-01,severe_bear,8803170.490817867,-0.07384327942585947
2033-06-01,severe_bear,8827428.840075325,-0.01837262813435796
2033-07-01,severe_bear,8846921.367675621,-0.020027207137111452
